UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",615,"R",576
100654, 5,  5,"R",2,"R",2
100654, 6,  6,"R",35,"R",35
100654,11, 11,"R",7,"R",7
100654,12, 12,"R",9,"R",8
100654,13, 13,"R",93,"R",92
100654,17, 17,"R",66,"R",65
100654,18, 18,"R",7,"R",7
100654,21, 21,"R",4,"R",4
100654,22, 22,"R",8,"R",8
100654,24, 24,"R",2,"R",2
100654,25, 25,"R",1,"R",1
100654,26, 26,"R",21,"R",20
100654,28, 28,"R",12,"R",12
100654,29, 29,"R",20,"R",18
100654,31, 31,"R",1,"R",1
100654,32, 32,"R",1,"R",1
100654,36, 36,"R",2,"R",2
100654,37, 37,"R",1,"R",1
100654,39, 39,"R",8,"R",8
100654,40, 40,"R",1,"R",1
100654,42, 42,"R",2,"R",2
100654,45, 45,"R",3,"R",3
100654,47, 47,"R",33,"R",32
100654,48, 48,"R",8,"R",8
100654,51, 51,"R",3,"R",3
100654,55, 55,"R",3,"R",3
100654,57, 57,"R",41,"R",40
100654,58,999,"R",1009,"R",962
100654,99, 99,"R",1009,"R",962
100663, 1,  1,"R",1452,"R",1408
100663, 4,  4,"R",3,"R",2
100663, 5,  5,"R",2,"R",2
100663, 6,  6,"R",3,"R",3
100663, 8,  8,"R",3,"R",3
100663, 9,  9,"R",2,"R",2
100663,10, 10,"R",1,"R",1
100663,12, 12,"R",16,"R",16
100663,13, 13,"R",59,"R",59
100663,17, 17,"R",9,"R",9
100663,18, 18,"R",2,"R",2
100663,19, 19,"R",1,"R",1
100663,20, 20,"R",1,"R",1
100663,21, 21,"R",4,"R",4
100663,22, 22,"R",5,"R",5
100663,24, 24,"R",4,"R",4
100663,26, 26,"R",5,"R",5
100663,27, 27,"R",2,"R",2
100663,28, 28,"R",20,"R",20
100663,29, 29,"R",3,"R",3
100663,31, 31,"R",1,"R",1
100663,36, 36,"R",3,"R",3
100663,37, 37,"R",4,"R",4
100663,39, 39,"R",3,"R",3
100663,42, 42,"R",3,"R",3
100663,45, 45,"R",5,"R",5
100663,47, 47,"R",22,"R",22
100663,48, 48,"R",13,"R",13
100663,51, 51,"R",4,"R",4
100663,55, 55,"R",1,"R",1
100663,57, 57,"R",2,"R",2
100663,58,999,"R",1658,"R",1613
100663,90, 90,"R",18,"R",6
100663,99, 99,"R",1676,"R",1619
100690, 1,  1,"R",8,"R",3
100690,12, 12,"R",2,"Z",0
100690,13, 13,"R",1,"R",1
100690,39, 39,"R",1,"R",1
100690,48, 48,"R",1,"R",1
100690,58,999,"R",13,"R",6
100690,99, 99,"R",13,"R",6
100706, 1,  1,"R",505,"R",489
100706, 4,  4,"R",2,"R",1
100706, 5,  5,"R",2,"R",2
100706, 8,  8,"R",2,"R",2
100706,12, 12,"R",7,"R",7
100706,13, 13,"R",9,"R",9
100706,17, 17,"R",2,"R",2
100706,18, 18,"R",3,"R",3
100706,20, 20,"R",1,"R",1
100706,21, 21,"R",11,"R",11
100706,22, 22,"R",1,"R",1
100706,26, 26,"R",1,"R",0
100706,28, 28,"R",1,"R",1
100706,29, 29,"R",3,"R",3
100706,37, 37,"R",3,"R",3
100706,39, 39,"R",2,"R",2
100706,42, 42,"R",1,"R",1
100706,45, 45,"R",2,"R",2
100706,47, 47,"R",39,"R",39
100706,48, 48,"R",4,"R",3
100706,55, 55,"R",2,"R",2
100706,57, 57,"R",11,"R",8
100706,58,999,"R",614,"R",592
100706,90, 90,"R",10,"R",7
100706,99, 99,"R",624,"R",599
100724, 1,  1,"R",971,"R",727
100724, 2,  2,"R",1,"R",1
100724, 4,  4,"R",1,"R",1
100724, 6,  6,"R",26,"R",16
100724, 8,  8,"R",1,"R",1
100724, 9,  9,"R",2,"R",1
100724,10, 10,"R",1,"R",0
100724,11, 11,"R",1,"R",0
100724,12, 12,"R",47,"R",33
100724,13, 13,"R",189,"R",140
100724,17, 17,"R",24,"R",17
100724,18, 18,"R",5,"R",3
100724,19, 19,"R",1,"R",1
100724,22, 22,"R",4,"R",1
100724,23, 23,"R",2,"R",0
100724,24, 24,"R",12,"R",4
100724,25, 25,"R",2,"R",1
100724,26, 26,"R",25,"R",13
100724,27, 27,"R",2,"R",1
100724,28, 28,"R",9,"R",9
100724,29, 29,"R",5,"R",5
100724,32, 32,"R",4,"R",2
100724,34, 34,"R",3,"R",2
100724,36, 36,"R",3,"R",2
100724,37, 37,"R",2,"R",1
100724,39, 39,"R",25,"R",18
100724,40, 40,"R",3,"R",3
100724,42, 42,"R",5,"R",2
100724,45, 45,"R",5,"R",3
100724,47, 47,"R",7,"R",6
100724,48, 48,"R",14,"R",11
100724,51, 51,"R",3,"R",3
100724,55, 55,"R",4,"R",4
100724,58,999,"R",1409,"R",1032
100724,90, 90,"R",8,"R",1
100724,98, 98,"R",62,"A",
100724,99, 99,"R",1479,"R",1033
100751, 1,  1,"R",2846,"R",2835
100751, 2,  2,"R",1,"R",1
100751, 4,  4,"R",22,"R",22
100751, 5,  5,"R",13,"R",13
100751, 6,  6,"R",150,"R",149
100751, 8,  8,"R",48,"R",48
100751, 9,  9,"R",50,"R",50
100751,10, 10,"R",10,"R",10
100751,11, 11,"R",3,"R",3
100751,12, 12,"R",360,"R",359
100751,13, 13,"R",541,"R",540
100751,15, 15,"R",1,"R",1
100751,16, 16,"R",3,"R",3
100751,17, 17,"R",159,"R",159
100751,18, 18,"R",49,"R",49
100751,19, 19,"R",9,"R",9
100751,20, 20,"R",13,"R",13
100751,21, 21,"R",61,"R",61
100751,22, 22,"R",69,"R",68
100751,24, 24,"R",86,"R",86
100751,25, 25,"R",45,"R",45
100751,26, 26,"R",55,"R",55
100751,27, 27,"R",7,"R",7
100751,28, 28,"R",60,"R",59
100751,29, 29,"R",55,"R",55
100751,31, 31,"R",2,"R",2
100751,32, 32,"R",2,"R",2
100751,33, 33,"R",17,"R",17
100751,34, 34,"R",87,"R",87
100751,35, 35,"R",2,"R",2
100751,36, 36,"R",62,"R",62
100751,37, 37,"R",128,"R",128
100751,38, 38,"R",2,"R",2
100751,39, 39,"R",94,"R",94
100751,40, 40,"R",10,"R",10
100751,41, 41,"R",4,"R",4
100751,42, 42,"R",110,"R",109
100751,44, 44,"R",11,"R",11
100751,45, 45,"R",66,"R",66
100751,47, 47,"R",302,"R",302
100751,48, 48,"R",371,"R",371
100751,49, 49,"R",2,"R",2
100751,50, 50,"R",1,"R",1
100751,51, 51,"R",147,"R",147
100751,53, 53,"R",10,"R",10
100751,54, 54,"R",6,"R",6
100751,55, 55,"R",12,"R",12
100751,57, 57,"R",8,"R",8
100751,58,999,"R",6172,"R",6155
100751,72, 72,"R",1,"R",1
100751,89,999,"R",1,"R",1
100751,90, 90,"R",198,"R",194
100751,99, 99,"R",6371,"R",6350
100760, 1,  1,"R",732,"R",331
100760,12, 12,"R",2,"R",1
100760,13, 13,"R",2,"R",1
100760,24, 24,"R",2,"R",1
100760,30, 30,"R",1,"Z",0
100760,37, 37,"R",2,"R",1
100760,47, 47,"R",1,"Z",0
100760,48, 48,"R",1,"Z",0
100760,57, 57,"R",247,"R",208
100760,58,999,"R",990,"R",543
100760,98, 98,"R",586,"A",
100760,99, 99,"R",1576,"R",543
100830, 1,  1,"R",340,"R",172
100830, 6,  6,"R",4,"R",2
100830,12, 12,"R",8,"R",3
100830,13, 13,"R",23,"R",17
100830,24, 24,"R",2,"R",2
100830,26, 26,"R",1,"R",1
100830,34, 34,"R",1,"R",0
100830,39, 39,"R",1,"R",1
100830,41, 41,"R",1,"R",1
100830,45, 45,"R",1,"R",1
100830,47, 47,"R",1,"R",1
100830,48, 48,"R",1,"R",1
100830,51, 51,"R",4,"R",1
100830,53, 53,"R",1,"R",0
100830,55, 55,"R",1,"R",0
100830,57, 57,"R",15,"R",4
100830,58,999,"R",405,"R",207
100830,90, 90,"R",245,"Z",0
100830,98, 98,"R",29,"A",
100830,99, 99,"R",679,"R",207
100858, 1,  1,"R",2293,"R",2285
100858, 2,  2,"R",1,"R",1
100858, 4,  4,"R",1,"R",1
100858, 5,  5,"R",1,"R",1
100858, 6,  6,"R",28,"R",27
100858, 8,  8,"R",15,"R",15
100858, 9,  9,"R",7,"R",7
100858,10, 10,"R",1,"R",1
100858,12, 12,"R",193,"R",190
100858,13, 13,"R",508,"R",505
100858,17, 17,"R",31,"R",31
100858,18, 18,"R",6,"R",6
100858,19, 19,"R",5,"R",5
100858,20, 20,"R",3,"R",3
100858,21, 21,"R",18,"R",18
100858,22, 22,"R",13,"R",13
100858,24, 24,"R",32,"R",32
100858,25, 25,"R",13,"R",13
100858,26, 26,"R",3,"R",3
100858,27, 27,"R",5,"R",5
100858,28, 28,"R",10,"R",10
100858,29, 29,"R",11,"R",11
100858,30, 30,"R",1,"R",1
100858,31, 31,"R",1,"R",1
100858,32, 32,"R",3,"R",3
100858,33, 33,"R",3,"R",3
100858,34, 34,"R",31,"R",31
100858,36, 36,"R",10,"R",10
100858,37, 37,"R",48,"R",47
100858,39, 39,"R",23,"R",23
100858,41, 41,"R",2,"R",2
100858,42, 42,"R",25,"R",24
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",22,"R",21
100858,47, 47,"R",159,"R",159
100858,48, 48,"R",121,"R",121
100858,50, 50,"R",2,"R",2
100858,51, 51,"R",63,"R",63
100858,53, 53,"R",5,"R",5
100858,54, 54,"R",3,"R",3
100858,55, 55,"R",4,"R",4
100858,58,999,"R",3726,"R",3708
100858,90, 90,"R",36,"R",31
100858,99, 99,"R",3762,"R",3739
100937, 1,  1,"R",175,"R",175
100937, 4,  4,"R",1,"R",1
100937, 6,  6,"R",1,"R",1
100937, 8,  8,"R",1,"R",1
100937,12, 12,"R",17,"R",17
100937,13, 13,"R",44,"R",44
100937,16, 16,"R",1,"R",1
100937,17, 17,"R",2,"R",2
100937,18, 18,"R",3,"R",3
100937,21, 21,"R",5,"R",5
100937,22, 22,"R",8,"R",8
100937,24, 24,"R",3,"R",3
100937,26, 26,"R",2,"R",2
100937,27, 27,"R",1,"R",1
100937,28, 28,"R",11,"R",11
100937,29, 29,"R",1,"R",1
100937,30, 30,"R",1,"R",1
100937,34, 34,"R",1,"R",1
100937,36, 36,"R",1,"R",1
100937,37, 37,"R",3,"R",3
100937,47, 47,"R",33,"R",33
100937,48, 48,"R",4,"R",4
100937,51, 51,"R",1,"R",1
100937,58,999,"R",320,"R",320
100937,90, 90,"R",7,"R",7
100937,99, 99,"R",327,"R",327
101028, 1,  1,"R",340,"R",221
101028,12, 12,"R",1,"R",1
101028,13, 13,"R",102,"R",64
101028,45, 45,"R",1,"R",1
101028,57, 57,"R",2,"Z",0
101028,58,999,"R",446,"R",287
101028,99, 99,"R",446,"R",287
101073, 1,  1,"R",66,"R",36
101073, 4,  4,"R",1,"R",1
101073, 6,  6,"R",3,"R",2
101073, 8,  8,"R",1,"R",1
101073, 9,  9,"R",1,"R",1
101073,12, 12,"R",16,"R",6
101073,13, 13,"R",15,"R",5
101073,17, 17,"R",3,"R",2
101073,21, 21,"R",1,"R",0
101073,22, 22,"R",6,"R",2
101073,26, 26,"R",3,"R",2
101073,28, 28,"R",5,"R",2
101073,29, 29,"R",4,"R",1
101073,34, 34,"R",1,"R",0
101073,42, 42,"R",2,"R",1
101073,45, 45,"R",1,"R",1
101073,47, 47,"R",6,"R",0
101073,51, 51,"R",2,"R",2
101073,53, 53,"R",1,"R",0
101073,57, 57,"R",5,"R",0
101073,58,999,"R",143,"R",65
101073,90, 90,"R",5,"R",1
101073,98, 98,"R",9,"A",
101073,99, 99,"R",157,"R",66
101116, 1,  1,"R",59,"R",19
101116,13, 13,"R",3,"R",3
101116,58,999,"R",62,"R",22
101116,99, 99,"R",62,"R",22
101143, 1,  1,"R",324,"R",224
101143,12, 12,"R",4,"R",3
101143,13, 13,"R",1,"R",0
101143,22, 22,"R",1,"R",0
101143,37, 37,"R",1,"R",1
101143,40, 40,"R",1,"R",0
101143,57, 57,"R",20,"R",10
101143,58,999,"R",352,"R",238
101143,99, 99,"R",352,"R",238
101161, 1,  1,"R",1118,"R",775
101161, 4,  4,"R",1,"R",1
101161, 6,  6,"R",1,"R",1
101161,12, 12,"R",14,"R",12
101161,13, 13,"R",2,"R",1
101161,21, 21,"R",1,"R",0
101161,22, 22,"R",4,"R",4
101161,23, 23,"R",1,"R",1
101161,28, 28,"R",2,"R",2
101161,40, 40,"R",1,"R",1
101161,45, 45,"R",1,"R",0
101161,47, 47,"R",6,"R",4
101161,48, 48,"R",3,"R",2
101161,55, 55,"R",1,"R",1
101161,57, 57,"R",21,"R",18
101161,58,999,"R",1177,"R",823
101161,99, 99,"R",1177,"R",823
101189, 1,  1,"R",283,"R",270
101189, 8,  8,"R",1,"R",1
101189,11, 11,"R",1,"Z",0
101189,12, 12,"R",20,"R",19
101189,13, 13,"R",33,"R",32
101189,18, 18,"R",1,"R",1
101189,22, 22,"R",1,"R",1
101189,26, 26,"R",1,"R",1
101189,28, 28,"R",3,"R",3
101189,29, 29,"R",1,"R",1
101189,31, 31,"R",1,"R",1
101189,35, 35,"R",1,"R",1
101189,42, 42,"R",1,"R",1
101189,47, 47,"R",9,"R",8
101189,48, 48,"R",11,"R",9
101189,51, 51,"R",1,"R",1
101189,57, 57,"R",2,"R",2
101189,58,999,"R",371,"R",352
101189,90, 90,"R",7,"R",5
101189,99, 99,"R",378,"R",357
101240, 1,  1,"R",456,"R",426
101240,13, 13,"R",1,"R",1
101240,18, 18,"R",1,"R",1
101240,47, 47,"R",1,"R",1
101240,57, 57,"R",839,"R",414
101240,58,999,"R",1298,"R",843
101240,90, 90,"R",21,"R",1
101240,99, 99,"R",1319,"R",844
101277, 1,  1,"R",66,"R",29
101277,58,999,"R",66,"R",29
101277,99, 99,"R",66,"R",29
101286, 1,  1,"R",997,"R",614
101286, 2,  2,"R",1,"R",1
101286,12, 12,"R",25,"R",16
101286,13, 13,"R",13,"R",7
101286,22, 22,"R",1,"R",1
101286,48, 48,"R",2,"R",2
101286,58,999,"R",1039,"R",641
101286,99, 99,"R",1039,"R",641
101295, 1,  1,"R",1120,"R",790
101295, 6,  6,"R",1,"R",1
101295,12, 12,"R",3,"R",2
101295,13, 13,"R",7,"R",4
101295,28, 28,"R",3,"R",3
101295,37, 37,"R",4,"R",4
101295,42, 42,"R",1,"R",1
101295,47, 47,"R",1,"R",0
101295,48, 48,"R",2,"R",2
101295,51, 51,"R",3,"R",3
101295,58,999,"R",1145,"R",810
101295,98, 98,"R",3,"A",
101295,99, 99,"R",1148,"R",810
101301, 1,  1,"R",379,"R",280
101301, 2,  2,"R",1,"R",1
101301,13, 13,"R",1,"R",1
101301,58,999,"R",381,"R",282
101301,99, 99,"R",381,"R",282
101365, 1,  1,"R",44,"R",5
101365,13, 13,"R",1,"Z",0
101365,58,999,"R",45,"R",5
101365,99, 99,"R",45,"R",5
101435, 1,  1,"R",199,"R",198
101435, 5,  5,"R",1,"R",1
101435, 6,  6,"R",1,"R",1
101435, 9,  9,"R",1,"R",1
101435,12, 12,"R",28,"R",27
101435,13, 13,"R",23,"R",23
101435,21, 21,"R",1,"R",1
101435,22, 22,"R",1,"R",1
101435,26, 26,"R",1,"R",1
101435,27, 27,"R",1,"R",1
101435,28, 28,"R",2,"R",2
101435,31, 31,"R",1,"R",1
101435,32, 32,"R",2,"R",2
101435,37, 37,"R",2,"R",2
101435,39, 39,"R",1,"R",1
101435,40, 40,"R",1,"R",1
101435,42, 42,"R",1,"R",1
101435,47, 47,"R",2,"R",2
101435,48, 48,"R",2,"R",2
101435,49, 49,"R",1,"R",1
101435,51, 51,"R",3,"R",3
101435,53, 53,"R",1,"R",1
101435,58,999,"R",276,"R",274
101435,99, 99,"R",276,"R",274
101453, 1,  1,"R",2,"R",1
101453,37, 37,"R",1,"R",0
101453,47, 47,"R",1,"R",1
101453,58,999,"R",4,"R",2
101453,98, 98,"R",1,"A",
101453,99, 99,"R",5,"R",2
101462, 1,  1,"R",176,"R",54
101462,47, 47,"R",4,"R",1
101462,57, 57,"R",9,"R",0
101462,58,999,"R",189,"R",55
101462,90, 90,"R",2,"R",0
101462,99, 99,"R",191,"R",55
101471, 1,  1,"R",242,"R",17
101471,58,999,"R",242,"R",17
101471,99, 99,"R",242,"R",17
101480, 1,  1,"R",1038,"R",1000
101480, 6,  6,"R",1,"R",1
101480,12, 12,"R",9,"R",9
101480,13, 13,"R",230,"R",225
101480,17, 17,"R",7,"R",7
101480,21, 21,"R",3,"R",3
101480,22, 22,"R",1,"R",1
101480,23, 23,"R",1,"R",1
101480,24, 24,"R",2,"R",2
101480,25, 25,"R",1,"R",1
101480,26, 26,"R",1,"R",0
101480,28, 28,"R",1,"R",1
101480,32, 32,"R",1,"R",1
101480,34, 34,"R",1,"R",1
101480,39, 39,"R",2,"R",2
101480,47, 47,"R",4,"R",4
101480,48, 48,"R",5,"R",5
101480,50, 50,"R",1,"R",1
101480,51, 51,"R",1,"R",1
101480,55, 55,"R",2,"R",2
101480,57, 57,"R",1,"R",1
101480,58,999,"R",1313,"R",1269
101480,90, 90,"R",19,"R",19
101480,99, 99,"R",1332,"R",1288
