UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",649,"R",497
100654, 4,  4,"R",1,"R",1
100654, 6,  6,"R",20,"R",12
100654, 8,  8,"R",4,"R",3
100654,11, 11,"R",8,"R",3
100654,12, 12,"R",39,"R",27
100654,13, 13,"R",188,"R",139
100654,17, 17,"R",178,"R",136
100654,18, 18,"R",26,"R",19
100654,21, 21,"R",4,"R",2
100654,22, 22,"R",7,"R",4
100654,24, 24,"R",4,"R",2
100654,26, 26,"R",49,"R",29
100654,27, 27,"R",3,"R",2
100654,28, 28,"R",6,"R",5
100654,29, 29,"R",37,"R",32
100654,31, 31,"R",1,"R",1
100654,34, 34,"R",3,"R",3
100654,36, 36,"R",3,"R",1
100654,37, 37,"R",7,"R",4
100654,39, 39,"R",44,"R",39
100654,41, 41,"R",1,"R",1
100654,42, 42,"R",4,"R",3
100654,45, 45,"R",4,"R",4
100654,46, 46,"R",1,"R",1
100654,47, 47,"R",68,"R",55
100654,48, 48,"R",7,"R",5
100654,49, 49,"R",3,"R",2
100654,51, 51,"R",9,"R",7
100654,55, 55,"R",5,"R",4
100654,57, 57,"R",17,"R",13
100654,58,999,"R",1400,"R",1056
100654,98, 98,"R",5,"A",
100654,99, 99,"R",1405,"R",1056
100663, 1,  1,"R",1917,"R",1904
100663, 2,  2,"R",1,"R",0
100663, 4,  4,"R",3,"R",3
100663, 6,  6,"R",8,"R",8
100663, 8,  8,"R",3,"R",3
100663, 9,  9,"R",1,"R",1
100663,10, 10,"R",2,"R",2
100663,12, 12,"R",29,"R",29
100663,13, 13,"R",107,"R",107
100663,17, 17,"R",25,"R",25
100663,18, 18,"R",2,"R",2
100663,20, 20,"R",3,"R",3
100663,21, 21,"R",5,"R",5
100663,22, 22,"R",11,"R",11
100663,25, 25,"R",1,"R",1
100663,26, 26,"R",7,"R",7
100663,28, 28,"R",17,"R",17
100663,29, 29,"R",2,"R",2
100663,31, 31,"R",1,"R",1
100663,32, 32,"R",1,"R",1
100663,33, 33,"R",1,"R",1
100663,34, 34,"R",2,"R",2
100663,35, 35,"R",2,"R",2
100663,36, 36,"R",1,"R",1
100663,37, 37,"R",4,"R",4
100663,40, 40,"R",2,"R",2
100663,41, 41,"R",1,"R",1
100663,42, 42,"R",4,"R",4
100663,45, 45,"R",10,"R",10
100663,47, 47,"R",55,"R",54
100663,48, 48,"R",32,"R",32
100663,51, 51,"R",5,"R",5
100663,53, 53,"R",1,"R",1
100663,55, 55,"R",3,"R",3
100663,58,999,"R",2269,"R",2254
100663,72, 72,"R",1,"R",1
100663,89,999,"R",1,"R",1
100663,90, 90,"R",29,"R",28
100663,99, 99,"R",2299,"R",2283
100690, 1,  1,"R",1,"Z",0
100690,58,999,"R",1,"Z",0
100690,99, 99,"R",1,"Z",0
100706, 1,  1,"R",913,"R",828
100706, 2,  2,"R",1,"R",1
100706, 5,  5,"R",4,"R",1
100706, 6,  6,"R",6,"R",5
100706, 8,  8,"R",5,"R",4
100706, 9,  9,"R",1,"R",1
100706,12, 12,"R",15,"R",14
100706,13, 13,"R",33,"R",28
100706,15, 15,"R",1,"R",1
100706,17, 17,"R",15,"R",15
100706,18, 18,"R",9,"R",5
100706,19, 19,"R",1,"R",1
100706,21, 21,"R",40,"R",38
100706,22, 22,"R",5,"R",5
100706,24, 24,"R",5,"R",5
100706,27, 27,"R",5,"R",4
100706,28, 28,"R",19,"R",18
100706,29, 29,"R",6,"R",6
100706,32, 32,"R",2,"R",2
100706,34, 34,"R",2,"R",2
100706,36, 36,"R",4,"R",4
100706,37, 37,"R",15,"R",14
100706,39, 39,"R",16,"R",16
100706,40, 40,"R",1,"R",0
100706,42, 42,"R",5,"R",5
100706,45, 45,"R",23,"R",20
100706,47, 47,"R",210,"R",199
100706,48, 48,"R",9,"R",8
100706,49, 49,"R",1,"R",1
100706,50, 50,"R",1,"R",1
100706,51, 51,"R",14,"R",14
100706,55, 55,"R",3,"R",3
100706,57, 57,"R",8,"R",7
100706,58,999,"R",1398,"R",1276
100706,90, 90,"R",28,"R",17
100706,98, 98,"R",9,"A",
100706,99, 99,"R",1435,"R",1293
100724, 1,  1,"R",602,"R",166
100724, 5,  5,"R",1,"R",1
100724, 6,  6,"R",18,"R",4
100724, 9,  9,"R",2,"R",1
100724,11, 11,"R",2,"R",0
100724,12, 12,"R",56,"R",16
100724,13, 13,"R",151,"R",47
100724,16, 16,"R",1,"R",0
100724,17, 17,"R",33,"R",7
100724,18, 18,"R",16,"R",5
100724,21, 21,"R",1,"R",0
100724,22, 22,"R",13,"R",3
100724,24, 24,"R",7,"R",2
100724,25, 25,"R",1,"R",0
100724,26, 26,"R",18,"R",4
100724,27, 27,"R",1,"R",0
100724,28, 28,"R",16,"R",12
100724,29, 29,"R",6,"R",2
100724,32, 32,"R",2,"R",1
100724,34, 34,"R",1,"R",0
100724,36, 36,"R",2,"R",0
100724,37, 37,"R",4,"R",1
100724,39, 39,"R",24,"R",11
100724,41, 41,"R",1,"R",0
100724,42, 42,"R",2,"R",0
100724,45, 45,"R",3,"R",1
100724,47, 47,"R",9,"R",6
100724,48, 48,"R",19,"R",6
100724,51, 51,"R",1,"R",0
100724,53, 53,"R",1,"R",1
100724,54, 54,"R",1,"R",1
100724,55, 55,"R",9,"R",4
100724,58,999,"R",1024,"R",302
100724,72, 72,"R",3,"R",1
100724,89,999,"R",3,"R",1
100724,90, 90,"R",11,"R",0
100724,99, 99,"R",1038,"R",303
100751, 1,  1,"R",2271,"R",2264
100751, 2,  2,"R",3,"R",3
100751, 4,  4,"R",32,"R",32
100751, 5,  5,"R",21,"R",21
100751, 6,  6,"R",237,"R",235
100751, 8,  8,"R",65,"R",65
100751, 9,  9,"R",88,"R",88
100751,10, 10,"R",15,"R",15
100751,12, 12,"R",315,"R",313
100751,13, 13,"R",538,"R",536
100751,15, 15,"R",6,"R",6
100751,16, 16,"R",4,"R",4
100751,17, 17,"R",351,"R",351
100751,18, 18,"R",57,"R",57
100751,19, 19,"R",4,"R",4
100751,20, 20,"R",15,"R",15
100751,21, 21,"R",75,"R",75
100751,22, 22,"R",106,"R",106
100751,23, 23,"R",2,"R",2
100751,24, 24,"R",88,"R",88
100751,25, 25,"R",103,"R",103
100751,26, 26,"R",78,"R",78
100751,27, 27,"R",17,"R",17
100751,28, 28,"R",78,"R",78
100751,29, 29,"R",92,"R",92
100751,30, 30,"R",3,"R",3
100751,31, 31,"R",6,"R",6
100751,32, 32,"R",15,"R",15
100751,33, 33,"R",19,"R",19
100751,34, 34,"R",204,"R",204
100751,35, 35,"R",7,"R",7
100751,36, 36,"R",172,"R",172
100751,37, 37,"R",142,"R",142
100751,39, 39,"R",114,"R",113
100751,40, 40,"R",14,"R",14
100751,41, 41,"R",14,"R",14
100751,42, 42,"R",149,"R",149
100751,44, 44,"R",14,"R",14
100751,45, 45,"R",58,"R",58
100751,46, 46,"R",2,"R",2
100751,47, 47,"R",309,"R",307
100751,48, 48,"R",368,"R",366
100751,49, 49,"R",3,"R",3
100751,50, 50,"R",6,"R",6
100751,51, 51,"R",167,"R",167
100751,53, 53,"R",24,"R",24
100751,54, 54,"R",5,"R",5
100751,55, 55,"R",48,"R",48
100751,56, 56,"R",5,"R",5
100751,57, 57,"R",8,"R",8
100751,58,999,"R",6537,"R",6519
100751,72, 72,"R",1,"R",1
100751,89,999,"R",1,"R",1
100751,90, 90,"R",125,"R",125
100751,99, 99,"R",6663,"R",6645
100760, 1,  1,"R",363,"R",298
100760, 5,  5,"R",1,"R",1
100760,13, 13,"R",4,"R",3
100760,25, 25,"R",1,"R",0
100760,33, 33,"R",1,"R",1
100760,42, 42,"R",1,"R",1
100760,54, 54,"R",1,"R",1
100760,58,999,"R",372,"R",305
100760,99, 99,"R",372,"R",305
100830, 1,  1,"R",661,"R",577
100830, 6,  6,"R",1,"R",1
100830, 9,  9,"R",1,"R",1
100830,12, 12,"R",7,"R",7
100830,13, 13,"R",14,"R",14
100830,15, 15,"R",1,"R",1
100830,17, 17,"R",4,"R",4
100830,18, 18,"R",2,"R",1
100830,21, 21,"R",1,"R",1
100830,22, 22,"R",5,"R",4
100830,25, 25,"R",3,"R",3
100830,28, 28,"R",1,"R",1
100830,31, 31,"R",1,"Z",0
100830,32, 32,"R",1,"R",1
100830,34, 34,"R",1,"R",1
100830,36, 36,"R",1,"R",1
100830,37, 37,"R",3,"R",3
100830,39, 39,"R",1,"R",1
100830,41, 41,"R",1,"R",1
100830,42, 42,"R",1,"R",1
100830,47, 47,"R",1,"R",1
100830,48, 48,"R",3,"R",3
100830,49, 49,"R",1,"R",1
100830,51, 51,"R",2,"R",1
100830,57, 57,"R",2,"R",1
100830,58,999,"R",720,"R",631
100830,90, 90,"R",37,"R",22
100830,99, 99,"R",757,"R",653
100858, 1,  1,"R",2756,"R",2695
100858, 4,  4,"R",6,"R",6
100858, 5,  5,"R",8,"R",8
100858, 6,  6,"R",34,"R",33
100858, 8,  8,"R",20,"R",20
100858, 9,  9,"R",15,"R",15
100858,10, 10,"R",2,"R",2
100858,11, 11,"R",1,"R",1
100858,12, 12,"R",270,"R",263
100858,13, 13,"R",706,"R",694
100858,15, 15,"R",3,"R",3
100858,17, 17,"R",52,"R",52
100858,18, 18,"R",13,"R",13
100858,20, 20,"R",2,"R",2
100858,21, 21,"R",29,"R",29
100858,22, 22,"R",27,"R",27
100858,24, 24,"R",46,"R",45
100858,25, 25,"R",14,"R",14
100858,26, 26,"R",9,"R",9
100858,27, 27,"R",4,"R",4
100858,28, 28,"R",18,"R",17
100858,29, 29,"R",11,"R",11
100858,30, 30,"R",2,"R",2
100858,32, 32,"R",1,"R",1
100858,33, 33,"R",5,"R",5
100858,34, 34,"R",56,"R",54
100858,35, 35,"R",1,"R",1
100858,36, 36,"R",32,"R",32
100858,37, 37,"R",78,"R",77
100858,39, 39,"R",13,"R",13
100858,40, 40,"R",4,"R",4
100858,41, 41,"R",1,"R",1
100858,42, 42,"R",32,"R",32
100858,44, 44,"R",3,"R",3
100858,45, 45,"R",43,"R",43
100858,47, 47,"R",156,"R",155
100858,48, 48,"R",182,"R",180
100858,50, 50,"R",2,"R",2
100858,51, 51,"R",64,"R",64
100858,53, 53,"R",5,"R",4
100858,54, 54,"R",1,"R",1
100858,55, 55,"R",8,"R",8
100858,58,999,"R",4735,"R",4645
100858,78, 78,"R",1,"R",1
100858,89,999,"R",1,"R",1
100858,90, 90,"R",47,"R",24
100858,99, 99,"R",4783,"R",4670
100937, 1,  1,"R",204,"R",199
100937, 6,  6,"R",4,"R",4
100937, 8,  8,"R",1,"R",1
100937,11, 11,"R",1,"R",1
100937,12, 12,"R",11,"R",11
100937,13, 13,"R",47,"R",47
100937,18, 18,"R",1,"R",1
100937,22, 22,"R",13,"R",13
100937,24, 24,"R",1,"R",1
100937,28, 28,"R",4,"R",4
100937,36, 36,"R",3,"R",3
100937,37, 37,"R",1,"R",1
100937,42, 42,"R",3,"R",3
100937,45, 45,"R",1,"R",1
100937,47, 47,"R",25,"R",25
100937,48, 48,"R",3,"R",3
100937,49, 49,"R",1,"R",1
100937,51, 51,"R",1,"R",1
100937,57, 57,"R",1,"R",1
100937,58,999,"R",326,"R",321
100937,90, 90,"R",2,"R",1
100937,99, 99,"R",328,"R",322
101028, 1,  1,"R",316,"R",238
101028,12, 12,"R",3,"R",3
101028,13, 13,"R",83,"R",58
101028,37, 37,"R",2,"R",2
101028,58,999,"R",404,"R",301
101028,99, 99,"R",404,"R",301
101116, 1,  1,"R",7,"R",4
101116,58,999,"R",7,"R",4
101116,99, 99,"R",7,"R",4
101143, 1,  1,"R",370,"R",299
101143,12, 12,"R",6,"R",5
101143,13, 13,"R",7,"R",6
101143,36, 36,"R",1,"R",1
101143,48, 48,"R",1,"R",1
101143,51, 51,"R",1,"R",0
101143,57, 57,"R",7,"R",7
101143,58,999,"R",393,"R",319
101143,98, 98,"R",1,"A",
101143,99, 99,"R",394,"R",319
101161, 1,  1,"R",1582,"R",929
101161, 5,  5,"R",1,"Z",0
101161,12, 12,"R",40,"R",32
101161,13, 13,"R",11,"R",9
101161,17, 17,"R",2,"Z",0
101161,18, 18,"R",2,"R",2
101161,22, 22,"R",22,"R",16
101161,27, 27,"R",1,"Z",0
101161,28, 28,"R",6,"R",2
101161,29, 29,"R",1,"Z",0
101161,39, 39,"R",1,"Z",0
101161,40, 40,"R",1,"Z",0
101161,45, 45,"R",2,"Z",0
101161,47, 47,"R",2,"R",1
101161,48, 48,"R",2,"R",1
101161,51, 51,"R",1,"Z",0
101161,55, 55,"R",1,"R",1
101161,57, 57,"R",9,"R",2
101161,58,999,"R",1687,"R",995
101161,98, 98,"R",4,"A",
101161,99, 99,"R",1691,"R",995
101189, 1,  1,"R",205,"R",167
101189, 2,  2,"R",1,"R",1
101189, 4,  4,"R",1,"R",1
101189,12, 12,"R",15,"R",15
101189,13, 13,"R",23,"R",23
101189,17, 17,"R",1,"R",1
101189,21, 21,"R",1,"R",1
101189,22, 22,"R",2,"R",2
101189,26, 26,"R",1,"R",1
101189,28, 28,"R",3,"R",3
101189,29, 29,"R",1,"R",1
101189,32, 32,"R",1,"R",1
101189,34, 34,"R",1,"R",1
101189,37, 37,"R",1,"R",1
101189,42, 42,"R",1,"R",1
101189,47, 47,"R",5,"R",4
101189,48, 48,"R",3,"R",3
101189,53, 53,"R",1,"R",1
101189,58,999,"R",267,"R",228
101189,90, 90,"R",6,"R",6
101189,99, 99,"R",273,"R",234
101240, 1,  1,"R",1007,"R",731
101240,13, 13,"R",3,"R",2
101240,47, 47,"R",1,"R",1
101240,57, 57,"R",34,"R",18
101240,58,999,"R",1045,"R",752
101240,90, 90,"R",14,"R",1
101240,98, 98,"R",18,"A",
101240,99, 99,"R",1077,"R",753
101277, 1,  1,"R",35,"R",21
101277,58,999,"R",35,"R",21
101277,99, 99,"R",35,"R",21
101286, 1,  1,"R",891,"R",634
101286,12, 12,"R",9,"R",8
101286,13, 13,"R",17,"R",10
101286,42, 42,"R",1,"Z",0
101286,48, 48,"R",1,"R",1
101286,58,999,"R",919,"R",653
101286,99, 99,"R",919,"R",653
101295, 1,  1,"R",1158,"R",964
101295, 5,  5,"R",1,"R",1
101295,12, 12,"R",1,"R",0
101295,13, 13,"R",5,"R",3
101295,29, 29,"R",1,"R",0
101295,36, 36,"R",1,"R",0
101295,37, 37,"R",1,"R",1
101295,41, 41,"R",1,"R",1
101295,42, 42,"R",1,"R",0
101295,47, 47,"R",3,"R",3
101295,48, 48,"R",1,"R",1
101295,51, 51,"R",2,"R",2
101295,58,999,"R",1176,"R",976
101295,90, 90,"R",1,"R",0
101295,99, 99,"R",1177,"R",976
101301, 1,  1,"R",318,"R",272
101301,57, 57,"R",2,"R",2
101301,58,999,"R",320,"R",274
101301,99, 99,"R",320,"R",274
101365, 1,  1,"R",36,"R",5
101365,13, 13,"R",1,"R",0
101365,58,999,"R",37,"R",5
101365,98, 98,"R",2,"A",
101365,99, 99,"R",39,"R",5
101435, 1,  1,"R",162,"R",161
101435, 4,  4,"R",1,"R",1
101435, 6,  6,"R",1,"R",1
101435,12, 12,"R",33,"R",33
101435,13, 13,"R",32,"R",32
101435,16, 16,"R",1,"R",1
101435,17, 17,"R",1,"R",1
101435,18, 18,"R",1,"R",1
101435,20, 20,"R",1,"R",1
101435,22, 22,"R",1,"R",1
101435,26, 26,"R",1,"R",1
101435,28, 28,"R",3,"R",3
101435,29, 29,"R",1,"R",1
101435,31, 31,"R",1,"R",1
101435,45, 45,"R",2,"R",2
101435,47, 47,"R",2,"R",2
101435,48, 48,"R",3,"R",3
101435,50, 50,"R",1,"R",1
101435,58,999,"R",248,"R",247
101435,98, 98,"R",1,"A",
101435,99, 99,"R",249,"R",247
101453, 1,  1,"R",2,"R",1
101453, 8,  8,"R",1,"Z",0
101453,21, 21,"R",1,"Z",0
101453,28, 28,"R",1,"Z",0
101453,48, 48,"R",2,"Z",0
101453,58,999,"R",7,"R",1
101453,99, 99,"R",7,"R",1
101462, 1,  1,"R",115,"R",49
101462,47, 47,"R",1,"R",0
101462,57, 57,"R",1,"R",1
101462,58,999,"R",117,"R",50
101462,98, 98,"R",2,"A",
101462,99, 99,"R",119,"R",50
101471, 1,  1,"R",277,"Z",0
101471,58,999,"R",277,"Z",0
101471,99, 99,"R",277,"Z",0
101480, 1,  1,"R",819,"R",713
101480, 6,  6,"R",2,"R",2
101480, 9,  9,"R",1,"R",1
101480,12, 12,"R",14,"R",13
101480,13, 13,"R",216,"R",180
101480,16, 16,"R",1,"R",1
101480,17, 17,"R",1,"R",1
101480,22, 22,"R",1,"R",1
101480,28, 28,"R",2,"R",2
101480,34, 34,"R",1,"R",1
101480,37, 37,"R",2,"R",2
101480,42, 42,"R",2,"R",2
101480,47, 47,"R",4,"R",4
101480,48, 48,"R",1,"R",1
101480,51, 51,"R",1,"R",1
101480,53, 53,"R",1,"R",1
101480,57, 57,"R",4,"R",3
101480,58,999,"R",1073,"R",929
101480,99, 99,"R",1073,"R",929
