UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",884,"R",710
100654, 4,  4,"R",1,"R",1
100654, 5,  5,"R",3,"R",3
100654, 6,  6,"R",33,"R",28
100654, 8,  8,"R",1,"R",1
100654,10, 10,"R",3,"R",2
100654,11, 11,"R",3,"R",2
100654,12, 12,"R",35,"R",29
100654,13, 13,"R",172,"R",152
100654,17, 17,"R",96,"R",69
100654,18, 18,"R",14,"R",10
100654,20, 20,"R",2,"R",1
100654,21, 21,"R",2,"R",2
100654,22, 22,"R",8,"R",8
100654,24, 24,"R",10,"R",7
100654,25, 25,"R",3,"R",3
100654,26, 26,"R",28,"R",16
100654,27, 27,"R",3,"R",3
100654,28, 28,"R",6,"R",3
100654,29, 29,"R",28,"R",23
100654,32, 32,"R",1,"R",0
100654,34, 34,"R",2,"R",2
100654,36, 36,"R",2,"R",2
100654,37, 37,"R",7,"R",6
100654,39, 39,"R",17,"R",13
100654,42, 42,"R",1,"R",0
100654,45, 45,"R",2,"R",2
100654,47, 47,"R",36,"R",28
100654,48, 48,"R",20,"R",16
100654,51, 51,"R",2,"R",2
100654,55, 55,"R",3,"R",3
100654,58,999,"R",1428,"R",1147
100654,72, 72,"R",2,"R",2
100654,78, 78,"R",1,"R",1
100654,89,999,"R",3,"R",3
100654,98, 98,"R",17,"A",
100654,99, 99,"R",1448,"R",1150
100663, 1,  1,"R",1712,"R",1700
100663, 2,  2,"R",1,"R",1
100663, 4,  4,"R",2,"R",2
100663, 5,  5,"R",1,"R",1
100663, 6,  6,"R",1,"R",1
100663, 8,  8,"R",1,"R",1
100663,11, 11,"R",1,"R",1
100663,12, 12,"R",28,"R",28
100663,13, 13,"R",58,"R",58
100663,17, 17,"R",14,"R",13
100663,18, 18,"R",2,"R",2
100663,21, 21,"R",3,"R",3
100663,22, 22,"R",11,"R",11
100663,24, 24,"R",3,"R",3
100663,25, 25,"R",1,"R",1
100663,26, 26,"R",3,"R",3
100663,27, 27,"R",1,"R",1
100663,28, 28,"R",31,"R",31
100663,29, 29,"R",2,"R",2
100663,34, 34,"R",4,"R",4
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",4,"R",4
100663,37, 37,"R",3,"R",3
100663,39, 39,"R",9,"R",9
100663,40, 40,"R",1,"R",1
100663,42, 42,"R",4,"R",4
100663,45, 45,"R",4,"R",4
100663,47, 47,"R",48,"R",48
100663,48, 48,"R",13,"R",13
100663,51, 51,"R",3,"R",3
100663,54, 54,"R",1,"R",1
100663,55, 55,"R",3,"R",3
100663,58,999,"R",1974,"R",1961
100663,90, 90,"R",47,"R",45
100663,99, 99,"R",2021,"R",2006
100690, 1,  1,"R",19,"Z",0
100690, 8,  8,"R",1,"Z",0
100690,13, 13,"R",1,"Z",0
100690,48, 48,"R",1,"Z",0
100690,55, 55,"R",1,"Z",0
100690,58,999,"R",23,"Z",0
100690,99, 99,"R",23,"Z",0
100706, 1,  1,"R",861,"R",804
100706, 5,  5,"R",1,"R",0
100706, 6,  6,"R",3,"R",2
100706, 8,  8,"R",1,"R",1
100706, 9,  9,"R",1,"R",1
100706,12, 12,"R",15,"R",13
100706,13, 13,"R",26,"R",25
100706,17, 17,"R",12,"R",11
100706,18, 18,"R",5,"R",5
100706,21, 21,"R",14,"R",12
100706,22, 22,"R",6,"R",6
100706,24, 24,"R",5,"R",5
100706,26, 26,"R",1,"R",1
100706,27, 27,"R",1,"R",1
100706,28, 28,"R",5,"R",3
100706,29, 29,"R",6,"R",6
100706,31, 31,"R",2,"R",2
100706,33, 33,"R",2,"R",2
100706,34, 34,"R",2,"R",2
100706,35, 35,"R",1,"R",1
100706,36, 36,"R",2,"R",2
100706,37, 37,"R",21,"R",20
100706,38, 38,"R",1,"R",1
100706,39, 39,"R",9,"R",9
100706,41, 41,"R",2,"R",2
100706,42, 42,"R",6,"R",6
100706,44, 44,"R",1,"R",1
100706,45, 45,"R",4,"R",3
100706,47, 47,"R",146,"R",142
100706,48, 48,"R",12,"R",11
100706,51, 51,"R",7,"R",7
100706,55, 55,"R",3,"R",3
100706,58,999,"R",1184,"R",1110
