UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100706, 1,  1,"R",550,"R",468
100706, 9,  9,"R",1,"R",0
100706,12, 12,"R",3,"R",2
100706,13, 13,"R",7,"R",5
100706,17, 17,"R",4,"R",4
100706,18, 18,"R",1,"R",0
100706,19, 19,"R",1,"R",1
100706,21, 21,"R",4,"R",3
100706,24, 24,"R",1,"R",1
100706,26, 26,"R",1,"R",1
100706,27, 27,"R",1,"R",0
100706,28, 28,"R",1,"R",1
100706,29, 29,"R",1,"R",1
100706,34, 34,"R",1,"R",1
100706,36, 36,"R",1,"R",1
100706,37, 37,"R",5,"R",5
100706,39, 39,"R",5,"R",5
100706,40, 40,"R",1,"R",1
100706,45, 45,"R",2,"R",2
100706,47, 47,"R",49,"R",40
100706,48, 48,"R",5,"R",3
100706,55, 55,"R",1,"R",1
100706,57, 57,"R",17,"R",13
100706,58,999,"R",663,"R",559
100706,90, 90,"R",14,"R",7
100706,99, 99,"R",677,"R",566
100751, 1,  1,"R",2825,"R",2797
100751, 2,  2,"R",1,"R",1
100751, 4,  4,"R",6,"R",6
100751, 5,  5,"R",5,"R",5
100751, 6,  6,"R",103,"R",102
100751, 8,  8,"R",31,"R",31
100751, 9,  9,"R",38,"R",38
100751,10, 10,"R",12,"R",12
100751,11, 11,"R",3,"R",3
100751,12, 12,"R",317,"R",316
100751,13, 13,"R",447,"R",445
100751,15, 15,"R",3,"R",3
100751,16, 16,"R",3,"R",3
100751,17, 17,"R",97,"R",97
100751,18, 18,"R",33,"R",33
100751,19, 19,"R",5,"R",5
100751,20, 20,"R",8,"R",8
100751,21, 21,"R",64,"R",64
100751,22, 22,"R",85,"R",83
100751,23, 23,"R",1,"R",1
100751,24, 24,"R",101,"R",100
100751,25, 25,"R",35,"R",35
100751,26, 26,"R",30,"R",30
100751,27, 27,"R",7,"R",7
100751,28, 28,"R",65,"R",64
100751,29, 29,"R",38,"R",38
100751,31, 31,"R",2,"R",2
100751,32, 32,"R",3,"R",3
100751,33, 33,"R",10,"R",10
100751,34, 34,"R",52,"R",52
100751,35, 35,"R",8,"R",7
100751,36, 36,"R",58,"R",58
100751,37, 37,"R",122,"R",120
100751,39, 39,"R",85,"R",84
100751,40, 40,"R",5,"R",4
100751,41, 41,"R",5,"R",5
100751,42, 42,"R",50,"R",49
100751,44, 44,"R",2,"R",2
100751,45, 45,"R",71,"R",70
100751,46, 46,"R",1,"R",1
100751,47, 47,"R",275,"R",271
100751,48, 48,"R",326,"R",324
100751,49, 49,"R",2,"R",2
100751,50, 50,"R",3,"R",3
100751,51, 51,"R",128,"R",126
100751,53, 53,"R",2,"R",2
100751,54, 54,"R",3,"R",3
100751,55, 55,"R",13,"R",13
100751,56, 56,"R",2,"R",2
100751,57, 57,"R",6,"R",6
100751,58,999,"R",5597,"R",5546
100751,90, 90,"R",131,"R",52
100751,99, 99,"R",5728,"R",5598
100858, 1,  1,"R",2276,"R",2273
100858, 2,  2,"R",1,"R",1
100858, 4,  4,"R",8,"R",8
100858, 5,  5,"R",4,"R",4
100858, 6,  6,"R",38,"R",38
100858, 8,  8,"R",16,"R",16
100858, 9,  9,"R",8,"R",8
100858,10, 10,"R",4,"R",4
100858,11, 11,"R",1,"R",1
100858,12, 12,"R",274,"R",272
100858,13, 13,"R",596,"R",593
100858,15, 15,"R",2,"R",2
