UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
458177,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",16,"R",84,"R",6,"R",0,"R",6,"R",2,"R",33,"R",12
458186,"A",,"A",,"A",,"R",78,"R",0,"R",78,"R",61,"R",78,"A",,"A",,"A",,"A",,"A",,"R",27
458195,"A",,"A",,"A",,"R",3,"R",0,"R",3,"R",3,"R",100,"A",,"A",,"A",,"A",,"A",,"R",3
458210,"R",22,"R",168,"R",13,"R",11,"R",0,"R",11,"R",10,"R",91,"R",0,"R",0,"R",0,"R",0,"A",,"R",21
458229,"R",12,"R",130,"R",9,"R",20,"R",0,"R",20,"R",15,"R",75,"R",0,"R",0,"R",0,"R",0,"A",,"R",20
458247,"A",,"A",,"A",,"R",45,"R",0,"R",45,"R",33,"R",73,"A",,"A",,"A",,"A",,"A",,"R",20
458256,"R",298,"R",445,"R",67,"R",182,"R",2,"R",180,"R",129,"R",72,"R",107,"R",8,"R",99,"R",33,"R",33,"R",14
458265,"A",,"A",,"A",,"R",194,"R",0,"R",194,"R",166,"R",86,"R",31,"R",0,"R",31,"R",25,"R",81,"R",22
458274,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",42,"R",89,"R",14,"R",0,"R",14,"R",11,"R",79,"R",15
458283,"A",,"A",,"A",,"R",66,"R",0,"R",66,"R",52,"R",79,"A",,"A",,"A",,"A",,"A",,"R",20
458292,"A",,"A",,"A",,"R",18,"R",0,"R",18,"R",9,"R",50,"R",4,"R",0,"R",4,"R",2,"R",50,"R",9
458308,"A",,"A",,"A",,"R",11,"R",0,"R",11,"R",7,"R",64,"A",,"A",,"A",,"A",,"A",,"R",15
458317,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",16,"R",46,"A",,"A",,"A",,"A",,"A",,"R",17
458326,"A",,"A",,"A",,"R",22,"R",0,"R",22,"R",8,"R",36,"R",2,"R",0,"R",2,"R",2,"R",100,"R",9
458335,"A",,"A",,"A",,"R",31,"R",0,"R",31,"R",16,"R",52,"R",6,"R",0,"R",6,"R",3,"R",50,"R",17
458344,"A",,"A",,"A",,"R",17,"R",0,"R",17,"R",9,"R",53,"R",2,"R",0,"R",2,"R",1,"R",50,"R",6
458353,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",11,"R",48,"R",3,"R",0,"R",3,"R",2,"R",67,"R",7
458362,"A",,"A",,"A",,"R",40,"R",0,"R",40,"R",24,"R",60,"A",,"A",,"A",,"A",,"A",,"R",11
458371,"A",,"A",,"A",,"R",29,"R",0,"R",29,"R",20,"R",69,"A",,"A",,"A",,"A",,"A",,"A",
458380,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",14,"R",30,"A",,"A",,"A",,"A",,"A",,"R",36
458399,"A",,"A",,"A",,"R",49,"R",0,"R",49,"R",18,"R",37,"R",5,"R",0,"R",5,"R",4,"R",80,"R",20
458405,"R",186,"R",308,"R",60,"R",139,"Z",0,"R",139,"R",77,"R",55,"R",19,"Z",0,"R",19,"R",5,"R",26,"R",26
458414,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
