UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1194,"R",1392,"R",86,"R",1066,"R",0,"R",1066,"R",703,"R",66,"R",15,"R",0,"R",15,"R",5,"R",33,"R",20
100663,"R",1719,"R",3410,"R",50,"R",1730,"R",1,"R",1729,"R",1433,"R",83,"R",40,"R",0,"R",40,"R",23,"R",58,"R",18
100690,"R",6,"R",12,"R",50,"R",3,"Z",0,"R",3,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",2,"R",67,"R",10
100706,"R",714,"R",1503,"R",48,"R",638,"R",0,"R",638,"R",491,"R",77,"R",13,"R",0,"R",13,"R",8,"R",62,"R",16
100724,"R",1068,"R",1212,"R",88,"R",1518,"R",0,"R",1518,"R",869,"R",57,"R",25,"Z",0,"R",25,"R",7,"R",28,"R",16
100751,"R",6794,"R",8615,"R",79,"R",6428,"R",39,"R",6389,"R",5539,"R",87,"R",26,"R",1,"R",25,"R",15,"R",60,"R",21
100760,"R",518,"R",782,"R",66,"R",470,"R",0,"R",470,"R",231,"R",49,"R",91,"R",0,"R",91,"R",46,"R",51,"R",17
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
100830,"R",638,"R",1196,"R",53,"R",589,"R",0,"R",589,"R",384,"R",65,"R",82,"R",0,"R",82,"R",30,"R",37,"R",15
100858,"R",4552,"R",5955,"R",76,"R",3693,"R",0,"R",3693,"R",3343,"R",91,"R",30,"R",0,"R",30,"R",18,"R",60,"R",17
100937,"R",352,"R",381,"R",92,"R",356,"R",0,"R",356,"R",298,"R",84,"A",,"A",,"A",,"A",,"A",,"R",13
