UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1473,"R",1679,"R",88,"R",1194,"R",0,"R",1194,"R",690,"R",58,"R",13,"Z",0,"R",13,"R",4,"R",31,"R",19
100663,"R",1593,"R",3071,"R",52,"R",1718,"R",0,"R",1718,"R",1351,"R",79,"R",29,"R",1,"R",28,"R",17,"R",61,"R",18
100690,"R",16,"R",77,"R",21,"R",3,"Z",0,"R",3,"R",2,"R",67,"R",3,"Z",0,"R",3,"R",2,"R",67,"R",10
100706,"R",1027,"R",1858,"R",55,"R",714,"R",0,"R",714,"R",573,"R",80,"R",10,"R",0,"R",10,"R",4,"R",40,"R",16
100724,"R",1008,"R",1188,"R",85,"R",1068,"R",0,"R",1068,"R",643,"R",60,"R",19,"R",0,"R",19,"R",12,"R",63,"R",16
100751,"R",7176,"R",9066,"R",79,"R",6794,"R",1,"R",6793,"R",5874,"R",86,"R",30,"R",0,"R",30,"R",14,"R",47,"R",24
100760,"R",392,"R",668,"R",59,"R",457,"R",0,"R",457,"R",239,"R",52,"R",63,"R",0,"R",63,"R",34,"R",54,"R",17
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",23
100830,"R",657,"R",1224,"R",54,"R",558,"R",1,"R",557,"R",360,"R",65,"R",55,"Z",0,"R",55,"R",26,"R",47,"R",16
100858,"R",4854,"R",6337,"R",77,"R",4549,"R",0,"R",4549,"R",4085,"R",90,"R",39,"R",0,"R",39,"R",27,"R",69,"R",19
100937,"R",441,"R",464,"R",95,"R",352,"R",0,"R",352,"R",303,"R",86,"A",,"A",,"A",,"A",,"A",,"R",13
101028,"R",312,"R",734,"R",43,"R",338,"R",0,"R",338,"R",184,"R",54,"R",63,"R",0,"R",63,"R",13,"R",21,"R",17
101073,"R",101,"R",259,"R",39,"R",47,"R",0,"R",47,"R",21,"R",45,"R",1,"R",0,"R",1,"R",0,"R",0,"R",22
101116,"R",31,"R",134,"R",23,"R",25,"R",0,"R",25,"R",11,"R",44,"R",8,"Z",0,"R",8,"R",1,"R",13,"R",13
101143,"R",293,"R",844,"R",35,"R",316,"R",0,"R",316,"R",176,"R",56,"R",93,"R",0,"R",93,"R",34,"R",37,"R",18
101161,"R",1078,"R",1955,"R",55,"R",970,"R",0,"R",970,"R",549,"R",57,"R",247,"R",0,"R",247,"R",86,"R",35,"R",27
101189,"R",280,"R",839,"R",33,"R",383,"R",2,"R",381,"R",216,"R",57,"R",22,"R",0,"R",22,"R",11,"R",50,"R",15
101240,"R",947,"R",1818,"R",52,"R",1044,"R",0,"R",1044,"R",589,"R",56,"R",271,"R",0,"R",271,"R",121,"R",45,"R",18
101277,"A",,"A",,"A",,"R",58,"R",0,"R",58,"R",49,"R",84,"R",2,"R",0,"R",2,"R",0,"R",0,"R",13
101286,"R",746,"R",1747,"R",43,"R",858,"R",0,"R",858,"R",508,"R",59,"R",251,"R",0,"R",251,"R",103,"R",41,"R",19
