UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
139968,"R",837,"R",1444,"R",58,"R",106,"R",0,"R",0,"R",106,"R",44,"R",42,"R",6,"R",0,"R",0,"R",6,"R",1,"R",17,"R",20
139986,"R",310,"R",2541,"R",12,"R",323,"R",0,"Z",0,"R",323,"R",201,"R",62,"R",488,"R",0,"Z",0,"R",488,"R",228,"R",47,"R",16
139995,"R",82,"R",82,"R",100,"R",144,"R",0,"R",0,"R",144,"R",116,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",35
140003,"R",42,"R",70,"R",60,"R",57,"R",0,"R",0,"R",57,"R",43,"R",75,"R",31,"R",0,"R",0,"R",31,"R",16,"R",52,"R",15
140012,"R",325,"R",3724,"R",9,"R",281,"R",0,"Z",0,"R",281,"R",175,"R",62,"R",912,"R",0,"Z",0,"R",912,"R",493,"R",54,"R",21
140234,"R",211,"R",312,"R",68,"R",273,"R",0,"R",0,"R",273,"R",163,"R",60,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",11
140243,"R",301,"R",2002,"R",15,"R",272,"R",0,"Z",0,"R",272,"R",167,"R",61,"R",332,"R",0,"Z",0,"R",332,"R",173,"R",52,"R",14
140252,"R",174,"R",324,"R",54,"R",113,"R",0,"R",0,"R",113,"R",71,"R",63,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",15
140331,"R",624,"R",4522,"R",14,"R",688,"R",0,"Z",0,"R",688,"R",356,"R",52,"R",1258,"R",0,"Z",0,"R",1258,"R",556,"R",44,"R",22
140340,"R",43,"R",110,"R",39,"R",13,"R",0,"R",0,"R",13,"R",6,"R",46,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",14
140447,"R",974,"R",1479,"R",66,"R",888,"R",3,"R",0,"R",885,"R",789,"R",89,"R",24,"R",0,"R",0,"R",24,"R",19,"R",79,"R",13
140553,"R",604,"R",649,"R",93,"R",617,"R",0,"R",0,"R",617,"R",463,"R",75,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
140678,"R",332,"R",1080,"R",31,"R",373,"R",0,"Z",0,"R",373,"R",231,"R",62,"R",254,"R",0,"Z",0,"R",254,"R",123,"R",48,"R",15
140696,"R",329,"R",410,"R",80,"R",332,"R",0,"R",0,"R",332,"R",267,"R",80,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",15
140720,"R",201,"R",245,"R",82,"R",90,"R",0,"R",0,"R",90,"R",59,"R",66,"R",5,"R",0,"R",0,"R",5,"R",2,"R",40,"R",10
140818,"R",252,"R",396,"R",64,"R",290,"R",0,"R",0,"R",290,"R",179,"R",62,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",10
140827,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
140872,"R",346,"R",552,"R",63,"R",335,"R",1,"R",0,"R",334,"R",199,"R",60,"R",3,"R",0,"R",0,"R",3,"R",1,"R",33,"R",13
140942,"R",316,"R",2002,"R",16,"R",321,"R",0,"Z",0,"R",321,"R",192,"R",60,"R",368,"R",0,"Z",0,"R",368,"R",162,"R",44,"R",16
140951,"R",2596,"R",3504,"R",74,"R",2274,"R",0,"R",0,"R",2274,"R",1915,"R",84,"R",155,"R",0,"R",0,"R",155,"R",121,"R",78,"R",21
140960,"R",774,"R",1107,"R",70,"R",594,"R",0,"R",0,"R",594,"R",359,"R",60,"R",15,"R",0,"R",0,"R",15,"R",4,"R",27,"R",17
140988,"R",321,"R",576,"R",56,"R",263,"R",0,"R",0,"R",263,"R",144,"R",55,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",14
141006,"R",367,"R",895,"R",41,"R",338,"R",0,"Z",0,"R",338,"R",233,"R",69,"R",162,"R",0,"Z",0,"R",162,"R",78,"R",48,"R",17
141015,"A",,"A",,"A",,"R",7,"Z",0,"Z",0,"R",7,"R",4,"R",57,"R",4,"Z",0,"Z",0,"R",4,"R",1,"R",25,"R",6
141060,"R",571,"R",612,"R",93,"R",546,"R",1,"R",0,"R",545,"R",494,"R",91,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",11
141167,"R",75,"R",146,"R",51,"R",76,"R",0,"R",0,"R",76,"R",36,"R",47,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",10
141185,"R",213,"R",775,"R",27,"R",213,"R",0,"R",0,"R",213,"R",129,"R",61,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",14
141237,"R",283,"R",1612,"R",18,"R",206,"R",0,"R",0,"R",206,"R",125,"R",61,"R",8,"R",0,"R",0,"R",8,"R",2,"R",25,"R",20
141255,"R",181,"R",2446,"R",7,"R",169,"R",0,"Z",0,"R",169,"R",104,"R",62,"R",306,"R",0,"Z",0,"R",306,"R",131,"R",43,"R",14
141264,"R",1728,"R",2828,"R",61,"R",1675,"R",0,"R",0,"R",1675,"R",1092,"R",65,"R",37,"R",0,"R",0,"R",37,"R",12,"R",32,"R",19
141325,"R",155,"R",335,"R",46,"R",72,"Z",0,"Z",0,"R",72,"R",56,"R",78,"R",2,"Z",0,"Z",0,"R",2,"R",1,"R",50,"R",8
141334,"R",2182,"R",3580,"R",61,"R",2177,"R",0,"R",0,"R",2177,"R",1499,"R",69,"R",63,"R",0,"R",0,"R",63,"R",34,"R",54,"R",19
141361,"R",309,"R",735,"R",42,"R",265,"R",0,"R",0,"R",265,"R",201,"R",76,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
141486,"R",287,"R",415,"R",69,"R",210,"R",0,"R",0,"R",210,"R",166,"R",79,"R",25,"R",0,"R",0,"R",25,"R",9,"R",36,"R",11
141565,"R",399,"R",919,"R",43,"R",406,"R",0,"R",0,"R",406,"R",268,"R",66,"R",7,"R",0,"R",0,"R",7,"R",2,"R",29,"R",12
141574,"R",2114,"R",4066,"R",52,"R",1898,"R",0,"R",0,"R",1898,"R",1502,"R",79,"R",59,"R",0,"R",0,"R",59,"R",40,"R",68,"R",12
141608,"A",,"A",,"A",,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",19
141644,"R",556,"R",1452,"R",38,"R",480,"R",0,"R",0,"R",480,"R",286,"R",60,"R",20,"R",0,"R",0,"R",20,"R",6,"R",30,"R",15
141680,"R",339,"R",1370,"R",25,"R",296,"R",0,"R",0,"R",296,"R",175,"R",59,"R",179,"R",0,"R",0,"R",179,"R",52,"R",29,"R",15
141796,"R",679,"R",2552,"R",27,"R",694,"R",1,"R",0,"R",693,"R",436,"R",63,"R",364,"R",0,"R",0,"R",364,"R",153,"R",42,"R",17
141802,"R",106,"R",607,"R",17,"R",133,"R",0,"R",0,"R",133,"R",90,"R",68,"R",114,"R",0,"R",0,"R",114,"R",60,"R",53,"R",11
141811,"R",759,"R",2390,"R",32,"R",751,"R",0,"R",0,"R",751,"R",470,"R",63,"R",271,"R",0,"R",0,"R",271,"R",121,"R",45,"R",20
141839,"R",347,"R",1114,"R",31,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
141945,"A",,"A",,"A",,"P",18,"P",0,"P",0,"P",18,"P",15,"P",83,"P",0,"P",0,"P",0,"P",0,"P",0,"A",,"P",8
141981,"R",221,"R",1029,"R",21,"R",269,"R",0,"R",0,"R",269,"R",194,"R",72,"R",13,"R",0,"R",0,"R",13,"R",3,"R",23,"R",18
141990,"R",202,"R",1034,"R",20,"R",213,"R",0,"R",0,"R",213,"R",109,"R",51,"R",83,"R",0,"R",0,"R",83,"R",25,"R",30,"R",18
142054,"A",,"A",,"A",,"R",33,"Z",0,"Z",0,"R",33,"R",22,"R",67,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",15
142090,"R",19,"R",32,"R",59,"R",17,"R",0,"R",0,"R",17,"R",12,"R",71,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
142115,"R",2774,"R",8510,"R",33,"R",2665,"R",0,"Z",0,"R",2665,"R",2118,"R",79,"R",123,"R",0,"Z",0,"R",123,"R",55,"R",45,"R",17
142179,"R",131,"R",965,"R",14,"R",134,"R",0,"R",0,"R",134,"R",98,"R",73,"R",96,"R",0,"Z",0,"R",96,"R",54,"R",56,"R",10
142276,"R",1401,"R",3743,"R",37,"R",1186,"R",0,"Z",0,"R",1186,"R",750,"R",63,"R",84,"Z",0,"Z",0,"R",84,"R",35,"R",42,"R",13
142285,"R",1406,"R",3320,"R",42,"R",1517,"R",0,"Z",0,"R",1517,"R",1225,"R",81,"R",20,"R",0,"Z",0,"R",20,"R",2,"R",10,"R",15
142294,"R",286,"R",337,"R",85,"R",268,"R",6,"R",0,"R",262,"R",207,"R",79,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
142328,"R",473,"R",828,"R",57,"R",377,"R",0,"R",0,"R",377,"R",237,"R",63,"R",13,"Z",0,"Z",0,"R",13,"R",3,"R",23,"R",12
142407,"A",,"A",,"A",,"R",16,"R",0,"R",0,"R",16,"R",13,"R",81,"R",0,"R",0,"Z",0,"R",0,"R",0,"A",,"R",10
142416,"A",,"A",,"A",,"R",10,"R",0,"R",0,"R",10,"R",9,"R",90,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
142443,"R",691,"R",2267,"R",30,"R",646,"R",0,"R",0,"R",646,"R",344,"R",53,"R",280,"R",0,"R",0,"R",280,"R",97,"R",35,"R",13
142461,"R",278,"R",462,"R",60,"R",270,"R",0,"R",0,"R",270,"R",206,"R",76,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
142489,"A",,"A",,"A",,"R",14,"R",1,"R",0,"R",13,"R",9,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
142522,"R",3935,"R",6657,"R",59,"R",4131,"R",941,"R",0,"R",3190,"R",2341,"R",73,"R",505,"R",106,"R",0,"R",399,"R",285,"R",71,"R",22
142559,"R",591,"R",1314,"R",45,"R",607,"R",2,"Z",0,"R",605,"R",355,"R",59,"R",265,"R",0,"Z",0,"R",265,"R",120,"R",45,"R",19
142887,"R",49,"R",75,"R",65,"R",40,"R",0,"R",0,"R",40,"R",31,"R",78,"R",16,"R",0,"R",0,"R",16,"R",4,"R",25,"R",9
142957,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2
143048,"R",631,"R",840,"R",75,"R",650,"R",6,"R",0,"R",644,"R",519,"R",81,"R",1,"R",1,"R",0,"R",0,"R",0,"A",,"R",11
143084,"R",630,"R",694,"R",91,"R",735,"R",1,"R",0,"R",734,"R",644,"R",88,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
143118,"R",762,"R",1353,"R",56,"R",801,"R",3,"R",0,"R",798,"R",600,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"R",19
143181,"A",,"A",,"A",,"R",13,"Z",0,"Z",0,"R",13,"R",10,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
143215,"R",870,"R",2880,"R",30,"R",832,"R",1,"R",0,"R",831,"R",543,"R",65,"R",342,"R",2,"R",0,"R",340,"R",167,"R",49,"R",18
