UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
145406,"A",,"A",,"A",,"R",25,"R",0,"R",0,"R",25,"R",23,"R",92,"R",32,"R",0,"R",0,"R",32,"R",29,"R",91,"R",13
145424,"A",,"A",,"A",,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",9
145433,"A",,"A",,"A",,"R",5,"R",0,"R",0,"R",5,"R",4,"R",80,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",18
145497,"R",10,"R",77,"R",13,"R",13,"Z",0,"R",13,"R",26,"R",23,"R",88,"R",1,"Z",0,"Z",0,"R",1,"R",0,"R",0,"R",5
145521,"R",276,"R",689,"R",40,"R",206,"R",0,"R",0,"R",206,"R",127,"R",62,"R",60,"R",6,"R",0,"R",54,"R",17,"R",31,"R",14
145600,"R",4109,"R",6523,"R",63,"R",4014,"R",0,"R",0,"R",4014,"R",3218,"R",80,"R",36,"R",0,"R",0,"R",36,"R",14,"R",39,"R",18
145619,"R",453,"R",773,"R",59,"R",420,"R",0,"R",0,"R",420,"R",304,"R",72,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",15
145637,"R",7600,"R",9646,"R",79,"R",7503,"R",1,"R",0,"R",7502,"R",6959,"R",93,"R",15,"R",0,"R",0,"R",15,"R",6,"R",40,"R",20
145646,"R",494,"R",541,"R",91,"R",378,"R",0,"R",0,"R",378,"R",345,"R",91,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
145682,"R",1160,"R",3901,"R",30,"R",1140,"R",6,"R",0,"R",1134,"R",801,"R",71,"R",491,"R",21,"R",0,"R",470,"R",178,"R",38,"R",17
