UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100724, 1,  1,"R",590,"R",386
100724, 4,  4,"R",1,"R",0
100724, 6,  6,"R",24,"R",18
100724, 8,  8,"R",1,"R",1
100724, 9,  9,"R",2,"R",1
100724,11, 11,"R",3,"R",1
100724,12, 12,"R",38,"R",24
100724,13, 13,"R",169,"R",118
100724,15, 15,"R",1,"R",1
100724,17, 17,"R",44,"R",24
100724,18, 18,"R",8,"R",1
100724,20, 20,"R",1,"R",0
100724,21, 21,"R",2,"R",1
100724,22, 22,"R",5,"R",4
100724,24, 24,"R",6,"R",4
100724,25, 25,"R",2,"R",0
100724,26, 26,"R",31,"R",15
100724,27, 27,"R",5,"R",2
100724,28, 28,"R",5,"R",4
100724,29, 29,"R",6,"R",6
100724,31, 31,"R",1,"R",0
100724,32, 32,"R",2,"R",1
100724,34, 34,"R",1,"R",1
100724,35, 35,"R",1,"R",1
100724,36, 36,"R",6,"R",4
100724,37, 37,"R",3,"R",3
100724,39, 39,"R",13,"R",12
100724,42, 42,"R",1,"R",1
100724,45, 45,"R",7,"R",6
100724,47, 47,"R",12,"R",10
100724,48, 48,"R",12,"R",8
100724,51, 51,"R",3,"R",2
100724,55, 55,"R",6,"R",4
100724,58,999,"R",1012,"R",664
100724,72, 72,"R",3,"R",0
100724,89,999,"R",3,"R",0
100724,90, 90,"R",6,"R",3
100724,99, 99,"R",1021,"R",667
100751, 1,  1,"R",2508,"R",2499
100751, 2,  2,"R",3,"R",3
100751, 4,  4,"R",33,"R",33
100751, 5,  5,"R",18,"R",18
100751, 6,  6,"R",257,"R",257
100751, 8,  8,"R",67,"R",67
100751, 9,  9,"R",74,"R",74
100751,10, 10,"R",16,"R",16
100751,11, 11,"R",2,"R",2
100751,12, 12,"R",437,"R",434
100751,13, 13,"R",566,"R",564
100751,15, 15,"R",4,"R",4
100751,16, 16,"R",5,"R",5
100751,17, 17,"R",383,"R",380
100751,18, 18,"R",53,"R",53
100751,19, 19,"R",6,"R",6
100751,20, 20,"R",22,"R",22
100751,21, 21,"R",80,"R",80
100751,22, 22,"R",78,"R",78
100751,23, 23,"R",7,"R",7
100751,24, 24,"R",127,"R",126
100751,25, 25,"R",85,"R",85
100751,26, 26,"R",103,"R",103
100751,27, 27,"R",21,"R",21
100751,28, 28,"R",81,"R",79
100751,29, 29,"R",76,"R",76
100751,30, 30,"R",2,"R",2
100751,31, 31,"R",5,"R",5
100751,32, 32,"R",8,"R",8
100751,33, 33,"R",13,"R",13
100751,34, 34,"R",145,"R",145
100751,35, 35,"R",4,"R",4
100751,36, 36,"R",174,"R",174
100751,37, 37,"R",186,"R",186
100751,38, 38,"R",1,"R",1
100751,39, 39,"R",146,"R",146
100751,40, 40,"R",9,"R",9
100751,41, 41,"R",3,"R",3
100751,42, 42,"R",166,"R",166
100751,44, 44,"R",16,"R",16
100751,45, 45,"R",77,"R",77
100751,46, 46,"R",2,"R",2
100751,47, 47,"R",339,"R",338
100751,48, 48,"R",414,"R",414
100751,49, 49,"R",8,"R",8
100751,50, 50,"R",2,"R",2
100751,51, 51,"R",192,"R",192
100751,53, 53,"R",26,"R",26
100751,54, 54,"R",3,"R",3
100751,55, 55,"R",50,"R",50
100751,56, 56,"R",1,"R",1
100751,57, 57,"R",13,"R",12
100751,58,999,"R",7117,"R",7095
100751,90, 90,"R",94,"R",91
100751,99, 99,"R",7211,"R",7186
100760, 1,  1,"R",433,"R",353
100760,12, 12,"R",2,"R",2
100760,13, 13,"R",3,"R",3
100760,24, 24,"R",1,"R",1
100760,26, 26,"R",1,"R",0
100760,47, 47,"R",1,"R",1
100760,58,999,"R",441,"R",360
100760,99, 99,"R",441,"R",360
100830, 1,  1,"R",634,"R",556
100830, 2,  2,"R",1,"R",1
100830, 5,  5,"R",1,"R",1
100830, 6,  6,"R",1,"R",1
100830,11, 11,"R",1,"Z",0
100830,12, 12,"R",5,"R",5
100830,13, 13,"R",25,"R",21
100830,17, 17,"R",2,"R",2
100830,18, 18,"R",1,"R",1
100830,21, 21,"R",1,"R",1
100830,22, 22,"R",1,"Z",0
100830,23, 23,"R",1,"Z",0
100830,25, 25,"R",1,"R",1
100830,29, 29,"R",1,"R",1
100830,36, 36,"R",1,"R",1
100830,37, 37,"R",1,"R",1
100830,42, 42,"R",2,"Z",0
100830,45, 45,"R",1,"R",1
100830,47, 47,"R",2,"R",1
100830,48, 48,"R",5,"R",5
100830,51, 51,"R",4,"R",2
100830,58,999,"R",692,"R",602
100830,90, 90,"R",20,"R",4
100830,99, 99,"R",712,"R",606
100858, 1,  1,"R",2912,"R",2863
100858, 4,  4,"R",4,"R",4
100858, 5,  5,"R",6,"R",6
100858, 6,  6,"R",59,"R",58
100858, 8,  8,"R",15,"R",15
100858, 9,  9,"R",14,"R",14
100858,10, 10,"R",2,"R",2
100858,11, 11,"R",1,"R",1
100858,12, 12,"R",290,"R",283
100858,13, 13,"R",669,"R",660
100858,15, 15,"R",4,"R",3
100858,16, 16,"R",1,"R",1
100858,17, 17,"R",53,"R",52
100858,18, 18,"R",14,"R",14
100858,20, 20,"R",5,"R",5
100858,21, 21,"R",19,"R",19
100858,22, 22,"R",22,"R",22
100858,24, 24,"R",44,"R",44
100858,25, 25,"R",17,"R",16
100858,26, 26,"R",9,"R",9
100858,27, 27,"R",6,"R",6
100858,28, 28,"R",13,"R",11
100858,29, 29,"R",15,"R",15
100858,30, 30,"R",1,"R",1
100858,32, 32,"R",2,"R",2
100858,33, 33,"R",1,"R",1
100858,34, 34,"R",42,"R",42
100858,35, 35,"R",2,"R",2
100858,36, 36,"R",21,"R",21
100858,37, 37,"R",89,"R",88
100858,39, 39,"R",26,"R",25
100858,40, 40,"R",4,"R",4
100858,41, 41,"R",3,"R",3
100858,42, 42,"R",31,"R",31
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",56,"R",53
100858,47, 47,"R",140,"R",138
100858,48, 48,"R",129,"R",127
100858,49, 49,"R",1,"R",1
100858,50, 50,"R",1,"R",1
100858,51, 51,"R",83,"R",82
100858,53, 53,"R",4,"R",4
100858,54, 54,"R",1,"R",1
100858,55, 55,"R",6,"R",6
100858,57, 57,"R",2,"R",1
100858,58,999,"R",4841,"R",4759
100858,90, 90,"R",58,"R",22
100858,99, 99,"R",4899,"R",4781
101028, 1,  1,"R",290,"R",207
101028,12, 12,"R",2,"R",2
101028,13, 13,"R",89,"R",68
101028,22, 22,"R",1,"R",0
101028,37, 37,"R",1,"R",0
101028,57, 57,"R",1,"R",0
101028,58,999,"R",384,"R",277
101028,99, 99,"R",384,"R",277
101143, 1,  1,"R",370,"R",278
101143,12, 12,"R",8,"R",6
101143,13, 13,"R",3,"R",2
101143,15, 15,"R",1,"R",1
101143,22, 22,"R",2,"R",2
101143,25, 25,"R",1,"R",0
101143,48, 48,"R",1,"R",1
101143,57, 57,"R",9,"R",9
101143,58,999,"R",395,"R",299
101143,99, 99,"R",395,"R",299
101161, 1,  1,"R",1197,"R",914
101161, 4,  4,"R",1,"R",0
101161, 5,  5,"R",1,"R",1
101161,12, 12,"R",19,"R",18
101161,13, 13,"R",4,"R",3
101161,22, 22,"R",10,"R",10
101161,26, 26,"R",1,"R",1
101161,28, 28,"R",4,"R",4
101161,36, 36,"R",2,"R",1
101161,42, 42,"R",1,"R",1
101161,47, 47,"R",1,"R",1
101161,48, 48,"R",9,"R",7
101161,57, 57,"R",32,"R",29
101161,58,999,"R",1282,"R",990
101161,98, 98,"R",18,"A",
101161,99, 99,"R",1300,"R",990
101189, 1,  1,"R",234,"R",193
101189,12, 12,"R",11,"R",11
101189,13, 13,"R",24,"R",24
101189,20, 20,"R",1,"R",1
101189,22, 22,"R",1,"R",1
101189,26, 26,"R",1,"R",1
101189,27, 27,"R",3,"R",3
101189,37, 37,"R",1,"R",1
101189,45, 45,"R",2,"R",2
101189,47, 47,"R",7,"R",7
101189,48, 48,"R",2,"R",2
101189,58,999,"R",287,"R",246
101189,90, 90,"R",10,"R",9
101189,99, 99,"R",297,"R",255
101240, 1,  1,"R",1133,"R",787
101240,12, 12,"R",2,"R",2
101240,13, 13,"R",5,"R",4
101240,22, 22,"R",2,"R",2
101240,38, 38,"R",1,"R",0
101240,57, 57,"R",11,"R",6
101240,58,999,"R",1154,"R",801
101240,90, 90,"R",19,"R",1
101240,98, 98,"R",17,"A",
101240,99, 99,"R",1190,"R",802
101295, 1,  1,"R",1100,"R",851
