UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",720,"R",646
100654, 2,  2,"R",2,"R",1
100654, 4,  4,"R",2,"R",2
100654, 5,  5,"R",1,"R",1
100654, 6,  6,"R",7,"R",5
100654,12, 12,"R",11,"R",11
100654,13, 13,"R",101,"R",89
100654,17, 17,"R",81,"R",74
100654,18, 18,"R",16,"R",15
100654,20, 20,"R",1,"R",1
100654,21, 21,"R",1,"R",1
100654,24, 24,"R",7,"R",2
100654,25, 25,"R",1,"R",1
100654,26, 26,"R",29,"R",20
100654,27, 27,"R",1,"R",1
100654,28, 28,"R",8,"R",7
100654,29, 29,"R",33,"R",31
100654,34, 34,"R",3,"R",1
100654,35, 35,"R",1,"R",1
100654,36, 36,"R",7,"R",6
100654,37, 37,"R",2,"R",2
100654,39, 39,"R",14,"R",13
100654,40, 40,"R",2,"R",1
100654,42, 42,"R",2,"R",2
100654,45, 45,"R",4,"R",4
100654,47, 47,"R",47,"R",44
100654,48, 48,"R",12,"R",11
100654,51, 51,"R",2,"R",1
100654,55, 55,"R",3,"R",3
100654,57, 57,"R",2,"R",2
100654,58,999,"R",1123,"R",999
100654,99, 99,"R",1123,"R",999
100663, 1,  1,"R",1407,"R",1356
100663, 4,  4,"R",2,"R",2
100663, 5,  5,"R",2,"R",2
100663, 6,  6,"R",7,"R",7
100663,12, 12,"R",11,"R",11
100663,13, 13,"R",39,"R",39
100663,15, 15,"R",1,"R",1
100663,17, 17,"R",6,"R",6
100663,18, 18,"R",3,"R",3
100663,20, 20,"R",1,"Z",0
100663,21, 21,"R",2,"R",2
100663,22, 22,"R",4,"R",4
100663,23, 23,"R",1,"R",1
100663,24, 24,"R",1,"R",1
100663,26, 26,"R",2,"R",2
100663,27, 27,"R",2,"R",2
100663,28, 28,"R",15,"R",15
100663,29, 29,"R",6,"R",5
100663,30, 30,"R",1,"R",1
100663,31, 31,"R",1,"Z",0
100663,33, 33,"R",1,"R",1
100663,36, 36,"R",2,"R",2
100663,37, 37,"R",1,"R",1
100663,39, 39,"R",2,"R",2
100663,42, 42,"R",3,"R",3
100663,47, 47,"R",23,"R",22
100663,48, 48,"R",7,"R",7
100663,49, 49,"R",1,"R",1
100663,51, 51,"R",1,"R",1
100663,55, 55,"R",1,"R",1
100663,58,999,"R",1556,"R",1501
100663,72, 72,"R",1,"R",1
100663,78, 78,"R",1,"R",1
100663,89,999,"R",2,"R",2
100663,90, 90,"R",13,"R",10
100663,99, 99,"R",1571,"R",1513
100690, 1,  1,"R",2,"R",1
100690,12, 12,"R",1,"R",1
100690,47, 47,"R",1,"R",1
100690,58,999,"R",4,"R",3
100690,99, 99,"R",4,"R",3
100706, 1,  1,"R",503,"R",463
100706, 2,  2,"R",2,"R",2
100706, 6,  6,"R",1,"R",1
100706, 8,  8,"R",2,"R",1
100706,12, 12,"R",3,"R",3
100706,13, 13,"R",10,"R",10
100706,17, 17,"R",3,"R",3
100706,18, 18,"R",3,"R",2
100706,19, 19,"R",1,"R",1
100706,21, 21,"R",3,"R",3
100706,26, 26,"R",2,"R",1
100706,29, 29,"R",1,"R",1
100706,30, 30,"R",2,"R",2
100706,34, 34,"R",1,"R",1
100706,37, 37,"R",3,"R",3
100706,39, 39,"R",4,"R",4
100706,41, 41,"R",1,"R",1
100706,42, 42,"R",2,"R",2
100706,45, 45,"R",1,"R",1
100706,47, 47,"R",52,"R",36
100706,48, 48,"R",3,"R",3
100706,50, 50,"R",1,"R",1
100706,51, 51,"R",2,"R",2
100706,57, 57,"R",1,"R",1
100706,58,999,"R",607,"R",548
100706,90, 90,"R",13,"R",5
100706,98, 98,"R",2,"A",.
100706,99, 99,"R",622,"R",553
100724, 1,  1,"R",692,"R",509
100724, 5,  5,"R",2,"Z",0
100724, 6,  6,"R",15,"R",2
100724, 8,  8,"R",1,"Z",0
100724, 9,  9,"R",1,"Z",0
100724,12, 12,"R",51,"R",3
100724,13, 13,"R",147,"R",6
100724,17, 17,"R",52,"R",2
100724,18, 18,"R",3,"Z",0
100724,19, 19,"R",1,"Z",0
100724,21, 21,"R",1,"Z",0
100724,22, 22,"R",10,"Z",0
100724,24, 24,"R",3,"Z",0
100724,25, 25,"R",2,"R",2
100724,26, 26,"R",38,"R",2
100724,27, 27,"R",2,"Z",0
100724,28, 28,"R",9,"Z",0
100724,29, 29,"R",6,"Z",0
100724,34, 34,"R",1,"Z",0
100724,36, 36,"R",6,"Z",0
100724,37, 37,"R",2,"Z",0
100724,39, 39,"R",14,"R",1
100724,40, 40,"R",1,"Z",0
100724,42, 42,"R",1,"Z",0
100724,45, 45,"R",3,"Z",0
100724,47, 47,"R",13,"R",1
100724,48, 48,"R",5,"Z",0
100724,51, 51,"R",2,"Z",0
100724,53, 53,"R",2,"Z",0
100724,55, 55,"R",8,"Z",0
100724,57, 57,"R",6,"R",3
100724,58,999,"R",1100,"R",531
100724,72, 72,"R",1,"Z",0
100724,89,999,"R",1,"Z",0
100724,99, 99,"R",1101,"R",531
100751, 1,  1,"R",3121,"R",3082
100751, 2,  2,"R",1,"R",1
100751, 4,  4,"R",1,"R",1
100751, 5,  5,"R",11,"R",10
100751, 6,  6,"R",62,"R",61
100751, 8,  8,"R",17,"R",17
100751, 9,  9,"R",44,"R",43
100751,10, 10,"R",3,"R",3
100751,11, 11,"R",2,"R",2
100751,12, 12,"R",282,"R",280
100751,13, 13,"R",565,"R",562
100751,15, 15,"R",2,"R",2
100751,16, 16,"R",2,"R",2
100751,17, 17,"R",71,"R",70
100751,18, 18,"R",24,"R",24
100751,19, 19,"R",2,"R",2
100751,20, 20,"R",3,"R",3
100751,21, 21,"R",42,"R",42
100751,22, 22,"R",67,"R",66
100751,23, 23,"R",1,"R",1
100751,24, 24,"R",58,"R",58
100751,25, 25,"R",23,"R",22
100751,26, 26,"R",15,"R",15
100751,27, 27,"R",4,"R",4
100751,28, 28,"R",37,"R",36
100751,29, 29,"R",23,"R",23
100751,32, 32,"R",2,"R",2
100751,33, 33,"R",1,"R",1
100751,34, 34,"R",46,"R",46
100751,35, 35,"R",1,"R",1
100751,36, 36,"R",18,"R",17
100751,37, 37,"R",98,"R",95
100751,39, 39,"R",60,"R",59
100751,40, 40,"R",6,"R",6
100751,42, 42,"R",47,"R",47
100751,44, 44,"R",1,"R",1
100751,45, 45,"R",44,"R",44
100751,47, 47,"R",240,"R",240
100751,48, 48,"R",265,"R",265
100751,49, 49,"R",4,"R",4
100751,50, 50,"R",1,"R",1
100751,51, 51,"R",121,"R",121
100751,53, 53,"R",5,"R",5
100751,54, 54,"R",1,"R",1
100751,55, 55,"R",11,"R",11
100751,57, 57,"R",5,"R",4
100751,58,999,"R",5460,"R",5403
100751,90, 90,"R",59,"R",32
100751,99, 99,"R",5519,"R",5435
100760, 1,  1,"R",678,"R",441
100760, 6,  6,"R",1,"Z",0
100760,12, 12,"R",2,"R",2
100760,13, 13,"R",3,"R",3
100760,47, 47,"R",2,"R",2
100760,58,999,"R",686,"R",448
100760,98, 98,"R",2,"A",.
100760,99, 99,"R",688,"R",448
100830, 1,  1,"R",852,"R",575
100830, 2,  2,"R",2,"R",1
100830, 4,  4,"R",1,"R",0
100830, 6,  6,"R",4,"R",4
100830,10, 10,"R",1,"R",0
100830,11, 11,"R",1,"R",0
100830,12, 12,"R",6,"R",5
100830,13, 13,"R",22,"R",19
100830,17, 17,"R",2,"R",1
100830,22, 22,"R",1,"R",1
100830,34, 34,"R",2,"R",2
100830,36, 36,"R",1,"R",1
100830,37, 37,"R",3,"R",1
100830,45, 45,"R",1,"R",1
100830,47, 47,"R",2,"R",1
100830,48, 48,"R",2,"R",2
100830,51, 51,"R",4,"R",4
100830,53, 53,"R",1,"R",1
100830,54, 54,"R",1,"R",1
100830,55, 55,"R",1,"R",0
100830,57, 57,"R",18,"R",2
100830,58,999,"R",928,"R",622
100830,98, 98,"R",2,"A",.
100830,99, 99,"R",930,"R",622
100858, 1,  1,"R",2282,"R",2274
100858, 2,  2,"R",4,"R",4
100858, 4,  4,"R",6,"R",6
100858, 5,  5,"R",12,"R",12
100858, 6,  6,"R",24,"R",23
100858, 8,  8,"R",9,"R",9
100858, 9,  9,"R",13,"R",13
100858,10, 10,"R",2,"R",2
100858,11, 11,"R",1,"R",1
100858,12, 12,"R",298,"R",297
100858,13, 13,"R",618,"R",615
100858,15, 15,"R",2,"R",2
100858,16, 16,"R",1,"R",1
100858,17, 17,"R",55,"R",55
100858,18, 18,"R",6,"R",6
100858,20, 20,"R",6,"R",6
100858,21, 21,"R",19,"R",19
100858,22, 22,"R",29,"R",29
100858,24, 24,"R",31,"R",31
100858,25, 25,"R",10,"R",10
100858,26, 26,"R",12,"R",12
100858,27, 27,"R",6,"R",6
100858,28, 28,"R",20,"R",20
100858,29, 29,"R",19,"R",19
100858,31, 31,"R",2,"R",2
100858,32, 32,"R",2,"R",2
100858,33, 33,"R",1,"R",1
100858,34, 34,"R",20,"R",20
100858,35, 35,"R",4,"R",4
100858,36, 36,"R",8,"R",8
100858,37, 37,"R",67,"R",67
100858,39, 39,"R",26,"R",26
100858,40, 40,"R",3,"R",3
100858,42, 42,"R",20,"R",20
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",36,"R",36
100858,47, 47,"R",174,"R",174
100858,48, 48,"R",157,"R",157
100858,49, 49,"R",1,"R",1
100858,50, 50,"R",1,"R",1
100858,51, 51,"R",54,"R",54
100858,53, 53,"R",2,"R",2
100858,54, 54,"R",2,"R",2
100858,55, 55,"R",7,"R",7
100858,56, 56,"R",2,"R",2
100858,58,999,"R",4076,"R",4063
100858,72, 72,"R",2,"R",2
100858,89,999,"R",2,"R",2
100858,90, 90,"R",21,"R",0
100858,99, 99,"R",4099,"R",4065
100937, 1,  1,"R",201,"R",201
100937, 2,  2,"R",1,"R",1
100937, 4,  4,"R",1,"R",1
100937, 6,  6,"R",2,"R",2
100937, 8,  8,"R",1,"R",1
100937,10, 10,"R",1,"R",1
100937,12, 12,"R",18,"R",18
100937,13, 13,"R",49,"R",49
100937,18, 18,"R",2,"R",2
100937,21, 21,"R",3,"R",3
100937,22, 22,"R",10,"R",10
100937,25, 25,"R",1,"R",1
100937,28, 28,"R",6,"R",6
100937,29, 29,"R",2,"R",2
100937,34, 34,"R",1,"R",1
100937,37, 37,"R",2,"R",2
100937,39, 39,"R",1,"R",1
100937,40, 40,"R",2,"R",2
100937,45, 45,"R",1,"R",1
100937,47, 47,"R",35,"R",35
100937,48, 48,"R",14,"R",14
100937,50, 50,"R",1,"R",1
100937,51, 51,"R",1,"R",1
100937,56, 56,"R",1,"R",1
100937,58,999,"R",357,"R",357
100937,90, 90,"R",11,"R",11
100937,99, 99,"R",368,"R",368
101028, 1,  1,"R",251,"R",157
101028, 8,  8,"R",1,"R",1
101028,13, 13,"R",90,"R",59
101028,17, 17,"R",1,"R",1
101028,29, 29,"R",1,"R",1
101028,36, 36,"R",1,"R",0
101028,37, 37,"R",1,"R",1
101028,45, 45,"R",1,"R",1
101028,57, 57,"R",5,"R",3
101028,58,999,"R",352,"R",224
101028,90, 90,"R",1,"R",0
101028,99, 99,"R",353,"R",224
101073, 1,  1,"R",334,"R",334
101073, 8,  8,"R",2,"R",2
101073,12, 12,"R",7,"R",7
101073,13, 13,"R",27,"R",27
101073,17, 17,"R",1,"R",1
101073,22, 22,"R",1,"R",1
101073,24, 24,"R",2,"R",2
